mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lr,param_model__module__dropout,param_model__module__hidden_dim,param_select__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
26.68232364654541,1.657793982921847,0.22375087738037108,0.06144967916370219,512,0.004991206294299431,0.28391046056347324,128,16,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004991206294299431), ('model__module__dropout', 0.28391046056347324), ('model__module__hidden_dim', 128), ('select__k', 16)])",0.6048296701089304,0.734631184171698,0.6978678227244042,0.8132830193794202,0.8843342316111257,0.7469891855991156,0.09595154026453681,41
45.254551029205324,4.857193815913713,0.2817361354827881,0.06332896659370842,128,0.0005040659695873855,0.13055767477915328,128,16,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.0005040659695873855), ('model__module__dropout', 0.13055767477915328), ('model__module__hidden_dim', 128), ('select__k', 16)])",0.6047246109298748,0.7308689794062093,0.7438298314814005,0.9932724396792955,0.7800241432494149,0.770544000949239,0.12608065260645693,18
28.522066593170166,0.07360023369282531,0.22176785469055177,0.03485833574586175,512,0.004460604796712307,0.2973094777595995,128,8,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.004460604796712307), ('model__module__dropout', 0.2973094777595995), ('model__module__hidden_dim', 128), ('select__k', 8)])",0.5429151497444124,0.6707607305517945,0.582097059795,0.7018054470188907,0.6250866722784831,0.6245330118777161,0.05756843439711332,59
25.288612651824952,0.941040103529161,0.1999342441558838,0.06975013690957824,512,0.0005263330577978867,0.1010961569630353,256,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0005263330577978867), ('model__module__dropout', 0.1010961569630353), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6044763226868664,0.8289783043344918,0.6988497574771159,0.7853851160932729,0.8340358463145385,0.7503450693812571,0.0875723644385422,39
36.18672490119934,1.529033669320696,0.20027542114257812,0.047094912051899335,256,0.004567818629884208,0.29997736338800385,256,64,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.004567818629884208), ('model__module__dropout', 0.29997736338800385), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6032992859935603,0.86637750270012,0.8240547971353022,0.9691489577145935,0.8909712269302262,0.8307703540947605,0.12314937075771643,4
35.193995237350464,2.316533313199599,0.1948481559753418,0.04004006798967882,256,0.004880024802881287,0.2964387754110748,128,64,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.004880024802881287), ('model__module__dropout', 0.2964387754110748), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6026428792302435,0.8384329891391232,0.6965403303297424,0.7663328356874327,0.8904273365617991,0.7588752741896683,0.1019658735132598,36
31.534713888168334,0.19025153420694754,0.290510892868042,0.02948752515478107,256,0.0005,0.3,128,32,"OrderedDict([('model__batch_size', 256), ('model__lr', 0.0005), ('model__module__dropout', 0.3), ('model__module__hidden_dim', 128), ('select__k', 32)])",0.601966026246401,0.8329777646202465,0.6937624525409196,0.9822431598729713,0.7549318848418091,0.7731762576244695,0.12902522447906303,17
43.559616279602054,1.129971214721708,0.3091780662536621,0.09588463447878642,128,0.000548901025055671,0.29820483832840783,256,64,"OrderedDict([('model__batch_size', 128), ('model__lr', 0.000548901025055671), ('model__module__dropout', 0.29820483832840783), ('model__module__hidden_dim', 256), ('select__k', 64)])",0.6015384319494068,0.8258061523256198,0.7086733078722482,0.8138673981700142,0.8813935156704719,0.7662557611975522,0.09951618667269402,25
25.17502603530884,1.633721224318932,0.1635805130004883,0.029796656945018166,512,0.0049677997257570414,0.29985695477475327,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0049677997257570414), ('model__module__dropout', 0.29985695477475327), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6025079596910726,0.8367304691557165,0.9754597311956679,0.990930882734032,0.8925139109983289,0.8596285907549636,0.14026684009681464,1
25.219701051712036,1.2175771536973143,0.19170942306518554,0.030177660490504115,512,0.0049474479297285726,0.16990641096485687,128,64,"OrderedDict([('model__batch_size', 512), ('model__lr', 0.0049474479297285726), ('model__module__dropout', 0.16990641096485687), ('model__module__hidden_dim', 128), ('select__k', 64)])",0.6065632963084095,0.8379408752088356,0.9728347156142212,0.988825266326625,0.7547113237124673,0.8321750954341116,0.1423087972265637,3
